UTC,air_temp,M1,M2,M3,AMB,OBStar,OBPort,FPA,ROIC,boardid,med_counts,sun_alt
60754.45718752315,7.3,4.092,3.671,309.435,2.753,12.30870471499382,12.86780721961905,-32.54553131203227,-21.52879521484368,3,15953.0,-35.53641654649513
60754.45718752315,7.3,4.092,3.671,309.435,2.753,12.30870471499382,12.86780721961905,-37.93199259730176,-34.93092487792973,4,11725.0,-35.53641654649513
60754.52702760417,7.9,3.895,3.277,339.624,2.949,12.33477764584602,12.71137400915863,-29.74150044535645,-25.91192839355466,2,13929.0,-15.7263675441857
60754.52702760417,7.9,3.895,3.277,339.624,2.949,12.33477764584602,12.71137400915863,-23.87214212066408,-19.61140937499999,6,12733.0,-15.7263675441857
60754.52702760417,7.9,3.895,3.277,339.624,2.949,12.33477764584602,12.71137400915863,-32.39634360879592,-26.4863806152344,5,18418.0,-15.7263675441857
60754.52702760417,7.9,3.895,3.277,339.624,2.949,12.33477764584602,12.71137400915863,-26.00613698683981,-21.8979434570312,1,14565.0,-15.7263675441857
60754.52702760417,7.9,3.895,3.277,339.624,2.949,12.33477764584602,12.71137400915863,-32.54553131203227,-21.63599526367182,3,15941.0,-15.7263675441857
60754.52702760417,7.9,3.895,3.277,339.624,2.949,12.33477764584602,12.71137400915863,-37.93199259730176,-35.04198325195313,4,11684.0,-15.7263675441857
60754.40869984954,8.4,4.388,3.967,293.202,2.851,12.45354947011405,13.05286021272588,-27.58220474062011,-25.91192839355466,2,13967.0,-47.26567629039954
60754.40869984954,8.4,4.388,3.967,293.202,2.851,12.45354947011405,13.05286021272588,-23.87214212066408,-19.39299062499998,6,12761.0,-47.26567629039954
60754.40869984954,8.4,4.388,3.967,293.202,2.851,12.45354947011405,13.05286021272588,-32.03646099133988,-26.4863806152344,5,18434.0,-47.26567629039954
60754.40869984954,8.4,4.388,3.967,293.202,2.851,12.45354947011405,13.05286021272588,-25.28637175192773,-21.35655332031246,1,14498.0,-47.26567629039954
60754.40869984954,8.4,4.388,3.967,293.202,2.851,12.45354947011405,13.05286021272588,-32.9054139294883,-21.63599526367182,3,16050.0,-47.26567629039954
60754.40869984954,8.4,4.388,3.967,293.202,2.851,12.45354947011405,13.05286021272588,-38.29187521475785,-34.93092487792973,4,11735.0,-47.26567629039954
60754.05918583334,9.8,9.023,9.882,620.038,10.118,17.63315296789253,18.358138303596,-1158.693271405,-26.23735947265618,2,16777.0,6.130392106876482
60754.05918583334,9.8,9.023,9.882,620.038,10.118,17.63315296789253,18.358138303596,-23.87214212066408,-19.28378125,6,13543.0,6.130392106876482
60754.05918583334,9.8,9.023,9.882,620.038,10.118,17.63315296789253,18.358138303596,-33.83587407862012,-26.70512968749995,5,19683.0,6.130392106876482
60754.05918583334,9.8,9.023,9.882,620.038,10.118,17.63315296789253,18.358138303596,-26.00613698683981,-21.13999726562497,1,15903.0,6.130392106876482
